主索节点1,X坐标（米）,Y坐标（米）,Z坐标（米）,主索节点1,X坐标（米）,Y坐标（米）,Z坐标（米）,主索节点3,X坐标（米）,Y坐标（米）,Z坐标（米）
A0,0,0,-300.4,B1,6.1078,8.407,-300.2202,C1,9.8827,-3.211,-300.2202
A0,0,0,-300.4,B1,6.1078,8.407,-300.2202,A1,-6.1078,8.407,-300.2202
A0,0,0,-300.4,C1,9.8827,-3.211,-300.2202,D1,0,-10.391,-300.2202
A0,0,0,-300.4,D1,0,-10.391,-300.2202,E1,-9.8827,-3.211,-300.2202
A0,0,0,-300.4,E1,-9.8827,-3.211,-300.2202,A1,-6.1078,8.407,-300.2202
B1,6.1078,8.407,-300.2202,C1,9.8827,-3.211,-300.2202,B3,15.9942,5.197,-299.9289
B1,6.1078,8.407,-300.2202,A1,-6.1078,8.407,-300.2202,A3,0,16.818,-299.9289
B1,6.1078,8.407,-300.2202,A3,0,16.818,-299.9289,B2,12.2084,16.804,-299.6811
B1,6.1078,8.407,-300.2202,B2,12.2084,16.804,-299.6811,B3,15.9942,5.197,-299.9289
C1,9.8827,-3.211,-300.2202,D1,0,-10.391,-300.2202,C3,9.885,-13.605,-299.9289
C1,9.8827,-3.211,-300.2202,B3,15.9942,5.197,-299.9289,C2,19.7536,-6.418,-299.6811
C1,9.8827,-3.211,-300.2202,C2,19.7536,-6.418,-299.6811,C3,9.885,-13.605,-299.9289
D1,0,-10.391,-300.2202,E1,-9.8827,-3.211,-300.2202,D3,-9.885,-13.605,-299.9289
D1,0,-10.391,-300.2202,C3,9.885,-13.605,-299.9289,D2,0,-20.77,-299.6811
D1,0,-10.391,-300.2202,D2,0,-20.77,-299.6811,D3,-9.885,-13.605,-299.9289
E1,-9.8827,-3.211,-300.2202,A1,-6.1078,8.407,-300.2202,E3,-15.9942,5.197,-299.9289
E1,-9.8827,-3.211,-300.2202,D3,-9.885,-13.605,-299.9289,E2,-19.7536,-6.418,-299.6811
E1,-9.8827,-3.211,-300.2202,E2,-19.7536,-6.418,-299.6811,E3,-15.9942,5.197,-299.9289
